Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
3533577820,"Quần Short Lửng Cartoon Thú Unisex (Nhiều mẫu)-Lapi VN ,FREESIZE đến 65kg,","39,0k",100k+,Lapi VN,10%,₫3.900,https://shopee.vn/product/133312929/3533577820,https://s.shopee.vn/6AdDO4VP7m
2403837026,"Nước hoa hồng Dear, Klairs Supple Preparation Toner","313,2k",400k+,dearklairs_vietnam,12%,₫37.584,https://shopee.vn/product/158647903/2403837026,https://s.shopee.vn/60JnBlW2Sl
1226033104,Nước tẩy trang làm sạch sâu cho da nhạy cảm La Roche-Posay Micellar Water Sensitive Skin 400ml,"482,0k",200k+,La Roche-Posay Chính Hãng,8%,₫38.560,https://shopee.vn/product/37251700/1226033104,https://s.shopee.vn/9pWVkoHRgW
23087040540,"Máy Sấy Tóc Tạo Kiểu ION ÂM K3500 KAW không cánh quạt 2 chiều nóng lạnh 3 tốc độ sấy,Công suất 2200W","392,0k",20k+,Gia Dụng KAW,7%,₫27.440,https://shopee.vn/product/541608989/23087040540,https://s.shopee.vn/9fD5YVI51V
12137705300,[d'Alba Official] Serum dạng xịt khoáng căng bóng da  First Spray Serum 50ml/100ml - Mist Serum,"319,2k",200k+,d'Alba Official Store,10%,₫31.920,https://shopee.vn/product/562665255/12137705300,https://s.shopee.vn/9UtfMCIiMU
5386949803,Serum chống nắng cơ thể Vaseline 50x bảo vệ da với SPF 50+ PA++++ giúp da sáng hơn gấp 2X 300ml,"147,0k",300k+,Unilever - Chăm Sóc Cá Nhân,10%,₫14.700,https://shopee.vn/product/111138057/5386949803,https://s.shopee.vn/9KaF9tJLhT
17660243784,"Bút Kẻ Mắt Nước Nét Sắc Mãnh, Không Trôi Kissme Smooth Liquid Eyeliner Super Keep (3 Màu)","229,0k",10k+,Kissme Việt Nam ,15%,₫34.350,https://shopee.vn/product/593829709/17660243784,https://s.shopee.vn/AUmCY2EuKi
21192208405,Tinh chất dưỡng tóc không xả iShine – giải pháp phục hồi chuyên biệt,"150,0k",10k+,ISHINE Official Store,13%,₫19.500,https://shopee.vn/product/226983259/21192208405,https://s.shopee.vn/AKSmLjFXfh
18364990101,"Kem chống nắng nâng tone, làm dịu và bảo vệ da ATO Mild Sun Cream Pyunkang Yul 75ml","356,0k",7k+,Pyunkang Yul Viet Nam,12%,₫42.720,https://shopee.vn/product/903691349/18364990101,https://s.shopee.vn/AA9M9QGB0g
7108345232,Cà phê Đắk lắk làm sạch da chết COCOON 200ml HŨ (Dak lak coffee body polish),"103,0k",200k+,VEGAN -  Mỹ phẩm thuần chay,4%,₫4.120,https://shopee.vn/product/22823111/7108345232,https://s.shopee.vn/9zpvx7GoLf
11991139182,Bút Kẻ Mắt Nước JUDYDOLL 0.4g Siêu Mảnh 0.014mm Chống Thấm Nước Không Lem Khô Nhanh Dễ Sử Dụng,"181,0k",70k+,Judydoll Official Store,10%,₫18.100,https://shopee.vn/product/341989119/11991139182,https://s.shopee.vn/8V18AMMWOO
27810208891,"Dầu Gội Mọc Tóc Giảm Gàu, Dầu Gội  Kích Thích Mọc Tóc, Giảm Nấm Ngứa, Bảo Vê Nang Tóc Chắc Khỏe Mượt","95,0k",200k+,NiNi Beauty Home,10%,₫9.500,https://shopee.vn/product/1331843550/27810208891,https://s.shopee.vn/8Khhy3N9jN
580590480,[PHIÊN BẢN NÂNG TONE] Kem chống nắng nâng tone cho da dầu La Roche-Posay Anthelios XL SPF50+ PA++++ 50ml,"494,0k",300k+,La Roche-Posay Chính Hãng,8%,₫39.520,https://shopee.vn/product/37251700/580590480,https://s.shopee.vn/8AOHlkNn4M
7906998505,Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,"123,0k",200k+,Cocoon Vietnam Chính Hãng,8%,₫9.840,https://shopee.vn/product/175753395/7906998505,https://s.shopee.vn/804rZROQPL
3854824846,Bộ 2 nước tẩy trang đa năng 3in1 tươi mát L'Oreal Paris (xanh dương nhạt) 400ml,"359,0k",200k+,L'Oreal Paris Official Store,6%,₫21.540,https://shopee.vn/product/37251933/3854824846,https://s.shopee.vn/9AGoxaJz2a
2380724100,"Combo Dầu Gội Và Dầu Xả TRESemmé Keratin Smooth Cho Tóc Khô Xơ Rối Vào Nếp Suôn Mượt 640g, 620g","313,0k",400k+,Unilever - Chăm Sóc Cá Nhân,2%,₫6.260,https://shopee.vn/product/111138057/2380724100,https://s.shopee.vn/8zxOlHKcNZ
8878211498,"[Torriden Chính hãng] Kem dưỡng làm dịu da DIVE IN chứa Hyaluronic Acid, 100ml, Soothing Cream","326,4k",100k+,VN_Torriden Official Store,15%,₫48.960,https://shopee.vn/product/436346871/8878211498,https://s.shopee.vn/8pdyYyLFiY
29025947118,Kem chống nắng MizuMi UV Cooling Body Serum 165ml,"139,0k",4k+,MizuMi and Bomi Official Store,15%,₫20.850,https://shopee.vn/product/1072927041/29025947118,https://s.shopee.vn/8fKYMfLt3X
20225606598,"[NEW DEW] Son Tint Bóng Hàn Quốc Bền Màu, Lâu Trôi Cho Đôi Môi Căng Mọng, Ẩm Mịn Merzy The Watery Dew Tint 4g","176,0k",300k+,Merzy Official Store ,5%,₫8.800,https://shopee.vn/product/193207976/20225606598,https://s.shopee.vn/1qUEE6ltvE
22540228244,Máy làm tóc 5 in 1 uốn xoăn phồng sấy - Máy sấy uốn tóc tạo kiểu đa năng mini 3 mức nhiệt hàn quốc hàng chính hãng _U1 N,"249,0k",478,Gia Dụng COOK_HOUSE,6%,₫14.940,https://shopee.vn/product/530761916/22540228244,https://s.shopee.vn/1gAo1nmXGD
